Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Interest & Dividend Income - Finance - Total,Net Commission & Fees Income/(Expense) - Business Revenue,Revenue from Business Activities - Total,Cost of Operating Revenue,Provision & Impairment for Loan Losses,"Selling, General & Administrative Expenses - Total",Operating Profit before Non-Recurring Income/Expense,Income before Discontinued Operations & Extraordinary Items,Loans & Receivables - Total,Investments - Total,Total Assets,Deposits - Total,Common Equity - Total,Tangible Total Equity,Earning Assets,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Book Value per Share,Tangible Book Value per Share,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",Non-GAAP Adjusted Net Earnings - Company Reported,Non-GAAP EPS Diluted - Company Reported,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM",Interest & Dividend Income - Finance - Total,Net Commission & Fees Income/(Expense) - Business Revenue,Revenue from Business Activities - Total,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Deposits - Total,Loans & Receivables - Total,Total Assets,Capital Adequacy - Total (%),Capital Adequacy - Tier 1 (%),Capital Adequacy - Core Tier 1 (%),Capital Adequacy - Tier 2 (%),Risk Weighted Assets,Leverage Ratio - Basel 3 - %,Reserves for Loan Losses - Total Percentage of Loans - Gross - Total,Reserves for Loan Losses - Total to Loans - Non-Performing & Impaired,Reserves for Loan Losses - Total Percentage of Total Assets,Loans - Non-Performing & Impaired Percentage of Loans - Gross - Total,Loans - Non-Performing & Impaired Percentage of Shareholders Equity - Common,Loans - Non-Performing & Impaired Percentage of Reserves for Loan Losses - Total,Loans - Gross - Total Percentage of Total Assets,Loans to Deposits (End of Period),Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Earnings Retention Rate,Dividend Payout Ratio - %,Dividend Coverage - %
2021-08-11,SCHW,The Charles Schwab Corp,12.753,21.9085,33.6934,44.4625,51.8498,56.8869,60.576,63.4291,65.6217,67.3593,71.12250518798828,71.67391789463782,70.4284919997317,71.15102528430968,6280700.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-08-12,SCHW,The Charles Schwab Corp,12.778,22.0069,33.9046,44.7786,52.2351,57.3072,61.0167,63.8817,66.0832,67.8277,71.87538146972656,71.95162334542181,70.86520206465366,71.05579948306632,3425600.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-08-13,SCHW,The Charles Schwab Corp,13.2284,22.438,34.2098,45.0859,52.5538,57.6092,61.2974,64.1375,66.32,68.0497,70.53166198730469,71.8753906822428,69.99797605985907,71.76103512486804,3552100.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-08-16,SCHW,The Charles Schwab Corp,13.057,22.2572,34.0556,44.9367,52.404,57.4592,61.147,63.9873,66.1698,67.8993,69.81690979003906,70.31246749767577,68.73048838371994,69.88361962127527,3796400.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-08-17,SCHW,The Charles Schwab Corp,13.0695,22.3831,34.3581,45.3809,52.9405,58.0559,61.7859,64.6572,66.8629,68.6106,69.0926284790039,69.55959731151334,68.23492542992683,69.26416908881932,5487200.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-08-18,SCHW,The Charles Schwab Corp,12.9282,22.1941,34.1239,45.0904,52.6099,57.6964,61.4048,64.2592,66.452,68.1894,68.61612701416016,70.00750871722589,68.53988512803497,68.85437745518155,5828500.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-08-19,SCHW,The Charles Schwab Corp,12.9161,22.2319,34.2428,45.2704,52.8268,57.9377,61.6631,64.5306,66.7336,68.4792,67.72032165527344,68.45413728711317,66.8435615361661,67.63455496291289,3303600.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-08-20,SCHW,The Charles Schwab Corp,12.9222,22.2881,34.3771,45.4689,53.0667,58.2073,61.9551,64.8403,67.0572,68.8137,68.58753204345703,68.72095169693362,67.38674789134184,67.72982907766047,3259100.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-08-23,SCHW,The Charles Schwab Corp,12.8056,22.0995,34.1032,45.1116,52.647,57.742,61.456,64.3154,66.5119,68.2519,68.90203094482422,69.32134677986078,68.66378050209775,68.90203094482422,3989700.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-08-24,SCHW,The Charles Schwab Corp,12.6893,21.9022,33.8059,44.7233,52.1964,57.2494,60.9334,63.7703,65.9489,67.6744,70.66506958007812,70.84613493859975,68.90201808706932,69.11167233005094,5296300.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-08-25,SCHW,The Charles Schwab Corp,12.7407,22.0176,34.0105,45.0052,52.5259,57.6112,61.318,64.172,66.3631,68.0983,71.07486724853516,71.85632833760157,70.5316565801698,70.92238348929008,4754900.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-08-26,SCHW,The Charles Schwab Corp,12.2233,21.1011,32.5783,43.099,50.295,55.2542,58.9238,61.7825,64.0014,65.7754,70.1885757446289,71.66572399788653,70.16951163921478,71.446537681405,3237400.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-08-27,SCHW,The Charles Schwab Corp,11.383,19.6237,30.2784,40.0461,46.7289,51.4875,55.0988,57.9673,60.2324,62.0707,72.27564239501953,72.33282743877355,70.27434036344451,70.28387241587446,4690800.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-08-30,SCHW,The Charles Schwab Corp,11.5216,19.8413,30.5977,40.4544,47.1934,51.974,55.5912,58.4578,60.7169,62.5469,69.98843383789062,72.42811539832834,69.88360308920076,72.28516371640357,9734600.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-08-31,SCHW,The Charles Schwab Corp,11.4958,19.9083,30.7298,40.5872,47.2776,52.0889,55.7275,58.5394,60.7569,62.5537,69.42616271972656,70.14091389516128,68.57799190654336,69.78830796860811,7450300.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-09-01,SCHW,The Charles Schwab Corp,11.4719,19.7596,30.4654,40.3245,47.1139,51.8615,55.4439,58.2293,60.4257,62.2046,69.75971984863281,70.11233308662294,68.39692715967878,69.41663866324399,4606200.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-09-02,SCHW,The Charles Schwab Corp,12.3254,21.2454,32.764,43.3645,50.6572,55.6027,59.2451,62.0223,64.1751,65.8933,69.48336029052734,70.25528937256449,69.1688679716136,70.06468466224119,3213200.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-09-03,SCHW,The Charles Schwab Corp,12.4347,21.4214,33.0258,43.7038,51.0483,56.0118,59.6582,62.433,64.5801,66.2911,68.70188903808594,70.09327791790814,68.6637753684266,69.52147108145476,3348900.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-09-07,SCHW,The Charles Schwab Corp,12.5041,21.5006,33.1157,43.7923,51.1253,56.0775,59.7133,62.4792,64.6182,66.3221,68.69236755371094,69.02591671043704,67.68218075942093,68.13962479637837,4129000.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-09-08,SCHW,The Charles Schwab Corp,12.3214,21.1709,32.5942,43.0918,50.3001,55.2017,58.8207,61.5857,63.7328,65.4491,68.19679260253906,68.94966474382052,67.95854220102564,68.69235750934912,2955000.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-09-09,SCHW,The Charles Schwab Corp,11.5073,19.7423,30.3755,40.1499,46.8657,51.5824,55.1522,57.9338,60.1311,61.9131,68.93061065673828,70.3029280799612,67.94902012673299,68.22538420517141,4549200.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-09-10,SCHW,The Charles Schwab Corp,11.6279,19.9437,30.6807,40.5479,47.3272,52.0699,55.6493,58.4323,60.6262,62.4026,68.08245086669922,69.55007451007823,68.02526581458069,69.55007451007823,4099900.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
